Year,"Fuel Type","Number of Vehicles","Weight Class","Vehicle Type","Engine Configuration"
1997,"Liquefied Natural Gas (LNG)",2,"Light Duty","Vans (Small Passenger Vans)",Nondedicated
1997,"Liquefied Natural Gas (LNG)",3,"Heavy Duty","Other Trucks",Nondedicated
1997,"Liquefied Natural Gas (LNG)",3,"Heavy Duty","Other Trucks",Dedicated
1997,"Liquefied Natural Gas (LNG)",6,"Heavy Duty","Buses (Intercity Buses)",Dedicated
1997,"Liquefied Natural Gas (LNG)",1,"Medium Duty","Other Trucks",Nondedicated
1997,"Liquefied Natural Gas (LNG)",17,"Heavy Duty","Buses (Transit Buses)",Dedicated
1997,"Liquefied Natural Gas (LNG)",4,"Heavy Duty","Other Trucks",Dedicated
1996,"Liquefied Natural Gas (LNG)",3,"Heavy Duty","Other Trucks",Dedicated
1996,"Liquefied Natural Gas (LNG)",7,"Heavy Duty","Buses (Intercity Buses)",Dedicated
1996,"Liquefied Natural Gas (LNG)",15,"Medium Duty","Other Trucks",Nondedicated
1996,"Liquefied Natural Gas (LNG)",18,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
1996,"Liquefied Natural Gas (LNG)",3,"Heavy Duty","Other Trucks",Nondedicated
1996,"Liquefied Natural Gas (LNG)",3,"Heavy Duty","Other Trucks",Dedicated
1996,"Liquefied Natural Gas (LNG)",5,"Heavy Duty","Buses (Intercity Buses)",Dedicated
1996,"Liquefied Natural Gas (LNG)",20,"Medium Duty","Other Trucks",Dedicated
1995,"Liquefied Natural Gas (LNG)",30,"Medium Duty","Other Trucks",Nondedicated
1995,"Liquefied Natural Gas (LNG)",2,"Medium Duty","Other Trucks",Dedicated
1995,"Liquefied Natural Gas (LNG)",2,"Heavy Duty","Buses (Transit Buses)",Dedicated
1995,"Liquefied Natural Gas (LNG)",4,"Heavy Duty","Other Trucks",Dedicated
1995,"Liquefied Natural Gas (LNG)",22,"Heavy Duty","Buses (Transit Buses)",Nondedicated
1995,"Liquefied Natural Gas (LNG)",1,"Heavy Duty","Other Trucks",Nondedicated
1995,"Liquefied Natural Gas (LNG)",2,"Heavy Duty","Other Trucks",Dedicated
1995,"Liquefied Natural Gas (LNG)",1,"Heavy Duty","Other Trucks",Nondedicated
1995,"Liquefied Natural Gas (LNG)",17,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
1995,"Liquefied Natural Gas (LNG)",4,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Dedicated
1994,"Liquefied Natural Gas (LNG)",3,"Heavy Duty","Other Trucks",Dedicated
1994,"Liquefied Natural Gas (LNG)",3,"Heavy Duty","Other Trucks",Nondedicated
1994,"Liquefied Natural Gas (LNG)",1,"Light Duty","Vans (Passenger/Cargo Vans < 8500 lbs)",Nondedicated
1994,"Liquefied Natural Gas (LNG)",2,"Light Duty","Other Trucks (Trucks < 8500 lbs)",Dedicated
1994,"Liquefied Natural Gas (LNG)",4,"Light Duty","Vans (Passenger/Cargo Vans < 8500 lbs)",Nondedicated
1994,"Liquefied Natural Gas (LNG)",35,"Medium Duty","Other Trucks",Dedicated
1994,"Liquefied Natural Gas (LNG)",30,"Medium Duty","Other Trucks",Dedicated
1994,"Liquefied Natural Gas (LNG)",3,"Medium Duty","Other Trucks",Nondedicated
1994,"Liquefied Natural Gas (LNG)",14,"Heavy Duty","Buses (Transit Buses)",Dedicated
1994,"Liquefied Natural Gas (LNG)",1,"Light Duty","Automobiles (Compact)",Nondedicated
1994,"Liquefied Natural Gas (LNG)",1,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
